"city","street","postal_code","debut_tranche","fin_tranche","paire_impaire"
"ALZINGEN","PARC ROTHWEIT","5875",,,""
"ALZINGEN","ROUTE DE THIONVILLE","5888",578,998,"P"
"ALZINGEN","ROUTE DE THIONVILLE","5886",476,576,"P"
"ALZINGEN","ROUTE DE THIONVILLE","5887",423,999,"I"
"ALZINGEN","RUE ABBE EDOUARD GARNICH","5833",,,""
"ALZINGEN","RUE DE HESPERANGE","5830",,,""
"ALZINGEN","RUE DE L'EGLISE","5819",,,""
"ALZINGEN","RUE DE ROESER","5865",,,""
"ALZINGEN","RUE DE SYREN","5870",,,""
"ALZINGEN","RUE DU CAMPING","5815",,,""
"ALZINGEN","RUE DU CIMETIERE","5818",,,""
"ALZINGEN","RUE JEAN STEICHEN","5868",,,""
"ALZINGEN","RUE JEAN WOLTER","5892",,,""
"ALZINGEN","RUE JOS PAQUET","5872",,,""
"ALZINGEN","RUE JOSY HAENDEL","5829",,,""
"ALZINGEN","RUE LANGHECK","5854",,,""
"ALZINGEN","RUE NIC PAULY","5871",,,""
"ALZINGEN","RUE NICOLAS WESTER","5836",,,""
"ALZINGEN","RUE OP DER HAARD","5844",,,""
"ALZINGEN","RUE PAUL REUTER","5833",,,""
"ALZINGEN","RUE PIERRE FLAMMANG","5824",,,""
"ALZINGEN","RUE PIERRE STEIN","5869",,,""
"ALZINGEN","RUE ROGER WERCOLLIER","5890",,,"P"
"ALZINGEN","RUE SEITERT","5873",,,""
"ANGELSBERG","AM GEIE WEE","7410",,,""
"ANGELSBERG","RUE DE GLABACH","7410",,,""
"ANGELSBERG","RUE DE L'ECOLE","7410",,,""
"ANGELSBERG","RUE DE L'EGLISE","7410",,,""
"ANGELSBERG","RUE DE MERSCH","7410",,,""
"ANGELSBERG","RUE DE MEYSEMBOURG","7410",,,""
"ANGELSBERG","RUE DE SCHOOS","7410",,,""
"ANGELSBERG","RUE DU BERINGERBERG","7410",,,""
"ANSEMBOURG","CHATEAU D'ANSEMBOURG","7411",,,""
"ANSEMBOURG","RUE DE LA VALLEE","7411",,,""
"ANSEMBOURG","VIEUX CHATEAU","7411",,,""
"ARSDORF","AN DER HIEHLT","8809",,,""
"ARSDORF","ARSDORF-MOULIN","8808",,,""
"ARSDORF","FERME MISERE","8808",,,""
"ARSDORF","NEIMILLESCHPAD","8809",,,""
"ARSDORF","OP DER BAACH","8809",,,""
"ARSDORF","OP DER LEE","8808",,,""
"ARSDORF","PLACE DU SOUVENIR","8808",,,""
"ARSDORF","PLACE NICOLAS BRUCHER","8808",,,""
"ARSDORF","RUE DE LA MAIRIE","8809",,,""
"ARSDORF","RUE D'INSENBORN","8808",,,""
"ARSDORF","RUE DU CIMETIERE","8809",,,""
"ARSDORF","RUE DU LAC","8808",,,""
"ARSDORF","RUE JEAN-JACQUES KLEIN","8808",,,""
"ARSDORF","UM KNEPPCHEN","8809",,,""
"ARSDORF","WAEISSENHAFF","8821",,,""
"ASPELT","BEI DER GANER","5723",,,""
"ASPELT","D'GENNERWISS","5720",,,""
"ASPELT","FELSCHDREFFERSTROOSS","5717",,,""
"ASPELT","FREISENGERSTROOSS","5718",,,""
"ASPELT","GROUSSGAASS","5721",,,""
"ASPELT","HAANZENHAFF","5710",,,""
"ASPELT","HANNERT DEM DUERF","5719",,,""
"ASPELT","KIERFECHSTROOSS","5712",,,""
"ASPELT","KROKELSHAFF","5722",,,""
"ASPELT","KROKELSHAFFSTROOSS","5722",,,""
"ASPELT","LEEMILLEN","5730",,,""
"ASPELT","MUNNEREFERSTROOSS","5730",,,""
"ASPELT","OP DER GARE","5730",,,""
"ASPELT","OP DER SANK","5713",,,""
"ASPELT","OP LAANGERT","5720",,,""
"ASPELT","OP WAASSERKIERTEN","5713",,,""
"ASPELT","PEITER VUN UESPELT STROOSS","5710",,,""
"ASPELT","SCHOULSTROOSS","5716",,,""
"ASPELT","UM DANKEBUER","5722",,,""
"ASPELT","UM FLOUER","5711",,,""
"ASPELT","UM GOLDBIERCHEN","5720",,,""
"ASPELT","UM HONGERBUER","5714",,,""
"ASPELT","UM KLAEPPCHEN","5720",,,""
"ASPELT","UM SCHMIDDEBUER","5716",,,""
"ASSEL","AM WANGERT","5402",,,""
"ASSEL","HEISBURGERHAFF","5402",,,""
"ASSEL","RUE DE LUXEMBOURG","5402",,,""
"ASSEL","RUE DE ROLLING","5402",,,""
"ASSEL","RUE DU BRILL","5402",,,""
"ASSEL","RUE HEISBURGERHOF","5402",,,""
"ASSEL","RUE STINZINGER","5402",,,""
"ASSELBORN","ASSELBORN","9940",,,""
"ASSELBORN","EHMESCHBACH","9940",,,""
"ASSELBORN","WEYER","9940",,,""
"ASSELSCHEUER","AASSELSCHEIERHAFF","7392",,,""
"ASSELSCHEUER","RUE DU GRUENEWALD","7392",49,999,"I"
"ASSELSCHEUER","RUE DU GRUENEWALD","7392",22,998,"P"
"BASBELLAIN","A RENKEN","9942",,,""
"BASBELLAIN","AM DUARREF","9942",,,""
"BASBELLAIN","AM LEHMECK","9942",,,""
"BASBELLAIN","AN DER TRIIT","9942",,,""
"BASBELLAIN","BASBELLAIN","9942",,,""
"BASBELLAIN","BEESSLECKERWEEG","9942",,,""
"BASBELLAIN","CORNELYSMILLEN","9942",,,""
"BASBELLAIN","DEN AARMESWEEG","9942",,,""
"BASBELLAIN","DUARREFSTROOSS","9942",,,""
"BASBELLAIN","ELWENTERWEEG","9942",,,""
"BASBELLAIN","KIIRCHERMILLEN","9942",,,""
"BASBELLAIN","OP D'GEISSBRECK","9942",,,""
"BASBELLAIN","SCHMAENNEWEEG","9942",,,""
"BASBELLAIN","WILWERDANGERWEEG","9942",,,""
"BASCHARAGE","AM SCHACK","4942",2,2,""
"BASCHARAGE","AN DER HIEHL","4958",,,""
"BASCHARAGE","AVENUE DE LUXEMBOURG","4940",66,174,"P"
"BASCHARAGE","AVENUE DE LUXEMBOURG","4950",1,83,"I"
"BASCHARAGE","AVENUE DE LUXEMBOURG","4940",85,291,"I"
"BASCHARAGE","AVENUE DE LUXEMBOURG","4950",2,64,"P"
"BASCHARAGE","BOULEVARD J-F KENNEDY","4930",,,""
"BASCHARAGE","CITE CHARLES DE GAULLE","4951",,,""
"BASCHARAGE","CITE DES SACRIFIES 1940-1945","4950",,,""
"BASCHARAGE","CITE KAULIGWIES","4954",,,""
"BASCHARAGE","OP DER LOU","4946",,,""
"BASCHARAGE","RUE BELAIR","4909",,,""
"BASCHARAGE","RUE BELLE-VUE","4928",,,""
"BASCHARAGE","RUE BOELTGEN","4916",,,""
"BASCHARAGE","RUE DE HAUTCHARAGE","4925",,,""
"BASCHARAGE","RUE DE LA CONTINENTALE","4917",,,""
"BASCHARAGE","RUE DE LA POSTE","4939",,,""
"BASCHARAGE","RUE DE LA RECONNAISSANCE NATIONALE","4936",,,""
"BASCHARAGE","RUE DE LA RESISTANCE","4942",,,""
"BASCHARAGE","RUE DE L'EAU","4920",,,""
"BASCHARAGE","RUE DE L'ECOLE","4919",,,""
"BASCHARAGE","RUE DE L'EGLISE","4922",,,""
"BASCHARAGE","RUE DE SCHOUWEILER","4945",47,999,"I"
"BASCHARAGE","RUE DE SCHOUWEILER","4945",18,998,"P"
"BASCHARAGE","RUE DES ATELIERS","4908",,,""
"BASCHARAGE","RUE DES BLEUETS","4955",,,""
"BASCHARAGE","RUE DES CHAMPS","4914",,,""
"BASCHARAGE","RUE DES COQUELICOTS","4955",,,""
"BASCHARAGE","RUE DES GENETS","4955",,,""
"BASCHARAGE","RUE DES LILAS","4955",,,""
"BASCHARAGE","RUE DES MARGUERITES","4955",,,""
"BASCHARAGE","RUE DES MUGUETS","4955",,,""
"BASCHARAGE","RUE DES PRES","4941",,,""
"BASCHARAGE","RUE DES PRIMEVERES","4955",,,""
"BASCHARAGE","RUE DES ROSES","4955",,,""
"BASCHARAGE","RUE DES TULIPES","4955",,,""
"BASCHARAGE","RUE DES VIOLETTES","4955",,,""
"BASCHARAGE","RUE DICKS-LENTZ","4952",,,""
"BASCHARAGE","RUE DU BOIS","4912",,,""
"BASCHARAGE","RUE DU DIX SEPTEMBRE","4947",39,999,"I"
"BASCHARAGE","RUE DU DIX SEPTEMBRE","4947",46,998,"P"
"BASCHARAGE","RUE DU MOULIN","4933",,,""
"BASCHARAGE","RUE DU RUISSEAU","4944",,,""
"BASCHARAGE","RUE DU STADE","4948",,,""
"BASCHARAGE","RUE EMILE BOFFERDING","4911",,,""
"BASCHARAGE","RUE GUILLAUME SERRIG","4916",,,""
"BASCHARAGE","RUE HORNICK","4928",,,""
"BASCHARAGE","RUE JEAN NICOLAS SCHUMACHER","4907",,,""
"BASCHARAGE","RUE JEAN PESCHONG","4938",,,""
"BASCHARAGE","RUE JULES HEMMER","4926",,,""
"BASCHARAGE","RUE MICHEL KLEIN","4950",,,""
"BASCHARAGE","RUE NICOLAS MEYERS","4918",,,""
"BASCHARAGE","RUE PIERRE CLEMENT","4916",,,""
"BASCHARAGE","RUE PIERRE SCHUETZ","4946",,,""
"BASCHARAGE","RUE THEOPHILE AUBART","4907",,,""
"BASCHARAGE","RUE UM BECHEL","4945",,,""
"BASCHARAGE","ZONE OP ZAEMER","4959",,,""
"BASCHLEIDEN","AN DER BECH","9633",,,""
"BASCHLEIDEN","AN DER DELT","9633",,,""
"BASCHLEIDEN","AN HUNKIGT","9633",,,""
"BASCHLEIDEN","BEIM WEIHER","9633",,,""
"BASCHLEIDEN","FLEBOUR","9633",,,""
"BASCHLEIDEN","MASSEWEE","9633",,,""
"BASCHLEIDEN","POTEAU DE HARLANGE","9633",,,""
"BASCHLEIDEN","RUE DE LA VIEILLE EGLISE","9633",,,""
"BASCHLEIDEN","RUE DU BARRAGE","9633",,,""
"BASCHLEIDEN","RUE PRINCIPALE","9633",,,""
"BASCHLEIDEN","RUE ST. HUBERT","9633",2,10,"P"
"BASCHLEIDEN","RUE ST. HUBERT","9633",1,5,"I"
"BASTENDORF","AM ECK","9351",,,""
"BASTENDORF","AM EESSEL","9351",,,""
"BASTENDORF","AM HAFF","9350",,,""
"BASTENDORF","AN DER BAMSCHOUL","9350",,,""
"BASTENDORF","AN DER GAASS","9350",,,""
"BASTENDORF","BIEDEMCHEN","9350",,,""
"BASTENDORF","BLEESGAASS","9350",,,""
"BASTENDORF","BLEESMILLEN","9359",,,""
"BASTENDORF","HAAPTSTROOSS","9350",,,""
"BASTENDORF","HAEREBIERGSTROOSS","9350",,,""
"BASTENDORF","MELLERBAACH","9351",,,""
"BASTENDORF","OP DER TOMM","9351",,,""
"BASTENDORF","ROUERGAASS","9351",,,""
"BASTENDORF","TOMMGRUECHT","9351",,,""
"BAVIGNE","AM ECK","9635",,,""
"BAVIGNE","AM SEIF","9635",,,""
"BAVIGNE","AN DER OECHT","9635",,,""
"BAVIGNE","BERELERWEE","9635",,,""
"BAVIGNE","BOX LEE","9635",,,""
"BAVIGNE","DOERFSTROOSS","9635",,,""
"BAVIGNE","HARELERBERG","9635",,,""
"BAVIGNE","MEECHERWEE","9635",,,""
"BAVIGNE","SCHOULBEERG","9635",,,""
"BAVIGNE","UM KNUPP","9635",,,""
"BEAUFORT","AM WANGERT","6315",,,""
"BEAUFORT","AN DE KLENGE GAARDEN","6315",,,""
"BEAUFORT","AN DER SCHLEEF","6316",,,""
"BEAUFORT","BEI DER KAPELL","6315",,,""
"BEAUFORT","CHEMIN DE LA FONTAINE","6314",,,""
"BEAUFORT","CHEMIN DE LA VALLEE","6315",,,""
"BEAUFORT","CHEMIN DES ROCHERS","6310",,,""
"BEAUFORT","CITE BIRKBOUR","6311",,,""
"BEAUFORT","GRAND-RUE","6310",,,""
"BEAUFORT","HAEREWISS","6315",,,""
"BEAUFORT","LANDBURGER PARK","6311",,,""
"BEAUFORT","MONTEE DU CHATEAU","6314",,,""
"BEAUFORT","OP DER HEED","6316",,,""
"BEAUFORT","RESIDENCE LE MANOIR","6313",,,""
"BEAUFORT","ROUTE DE DILLINGEN","6315",,,""
"BEAUFORT","ROUTE DE HALLER","6312",,,""
"BEAUFORT","ROUTE DE REISDORF","6311",,,""
"BEAUFORT","ROUTE D'EPPELDORF","6312",,,""
"BEAUFORT","RUE BELAIR","6311",,,""
"BEAUFORT","RUE BELLE-VUE","6315",,,""
"BEAUFORT","RUE DE GRUNDHOF","6315",,,""
"BEAUFORT","RUE DE LA LIBERATION","6315",,,""
"BEAUFORT","RUE DE L'AUBERGE","6315",,,""
"BEAUFORT","RUE DE L'ECOLE","6315",,,""
"BEAUFORT","RUE DE L'EGLISE","6315",,,""
"BEAUFORT","RUE DES CHAMPS","6315",,,""
"BEAUFORT","RUE DES JARDINS","6310",,,""
"BEAUFORT","RUE DES PRES","6315",,,""
"BEAUFORT","RUE DES PROMENADES","6314",,,""
"BEAUFORT","RUE DU BOIS","6314",,,""
"BEAUFORT","RUE DU CHATEAU","6313",,,""
"BEAUFORT","RUE DU SOLEIL","6315",,,""
"BEAUFORT","RUE KUMMEL","6310",,,""
"BEAUFORT","RUE PIERRE SAFFROY","6312",,,""
"BEAUFORT","RUELLE SOEUR FLAVIA","6310",,,""
"BEAUFORT","UM HIWEL","6315",,,""
"BECH","AM BIIRK","6231",,,""
"BECH","AM BONGERT","6231",,,""
"BECH","BECHER GARE","6230",,,""
"BECH","BECHER MILLEN","6231",,,""
"BECH","BEIWERWISS","6230",,,""
"BECH","ENNEREM BESCH","6231",,,""
"BECH","ENNESCHTGAASS","6230",,,""
"BECH","GRASSEBIERG","6230",,,""
"BECH","HAMMEKNUPP","6231",,,""
"BECH","HANNER BRA","6231",,,""
"BECH","IEWESCHTGAASS","6230",,,""
"BECH","JOKESBIERG","6231",,,""
"BECH","KONSDREFERSTROOSS","6230",,,""
"BECH","KUELEGRUECHT","6231",,,""
"BECH","LECKEBIERG","6230",,,""
"BECH","NEIDIIRFCHEN","6231",,,""
"BECH","OP DEN AESSEN","6231",,,""
"BECH","SCHNECKELSBIERG","6231",,,""
"BECH","UEWEND DEM BESCH","6231",,,""
"BECH","UM FAUBOURG","6230",,,""
"BECH-KLEINMACHER","BECHEL","5403",,,""
"BECH-KLEINMACHER","GEIMESCHECK","5405",,,""
"BECH-KLEINMACHER","GIEDESCHGAESSEL","5403",,,""
"BECH-KLEINMACHER","HESSENECK","5404",,,""
"BECH-KLEINMACHER","KEESESCHGAESSEL","5405",,,""
"BECH-KLEINMACHER","KUEBENECK","5404",,,""
"BECH-KLEINMACHER","LOTHRENGESCHGAESSEL","5405",,,""
"BECH-KLEINMACHER","MUEDELSGAESSEL","5405",,,""
"BECH-KLEINMACHER","NAUMBERGERWEE","5403",,,""
"BECH-KLEINMACHER","NIDDERFELD","5403",,,""
"BECH-KLEINMACHER","OP DER KRUUT","5403",,,""
"BECH-KLEINMACHER","PAFENAECKER","5405",,,""
"BECH-KLEINMACHER","POSSEGAESSEL","5404",,,""
"BECH-KLEINMACHER","QUAI DE LA MOSELLE","5405",,,""
"BECH-KLEINMACHER","ROUTE DU VIN","5405",,,""
"BECH-KLEINMACHER","RUE ALOYSE SANDT","5404",,,""
"BECH-KLEINMACHER","RUE DE LA MOSELLE","5405",,,""
"BECH-KLEINMACHER","RUE DE L'EGLISE","5404",,,""
"BECH-KLEINMACHER","RUE DE REMICH","5405",,,""
"BECH-KLEINMACHER","RUE DES CAVES","5404",,,""
"BECH-KLEINMACHER","RUE DU MOULIN","5404",,,""
"BECH-KLEINMACHER","RUE DU SCHEUERBERG","5422",,,""
"BECH-KLEINMACHER","RUE JOS SUNNEN","5403",,,""
"BECH-KLEINMACHER","RUE NICO KLOPP","5403",,,""
"BECH-KLEINMACHER","RUE ST. WILLIBRORD","5404",,,""
"BECH-KLEINMACHER","RUE WENZEL PROFANT","5405",,,""
"BECH-KLEINMACHER","SANDTEGAASS","5404",,,""
"BECH-KLEINMACHER","STIPPCHEN","5403",,,""
"BECKERICH","ARELERSTROOSS","8523",,,""
"BECKERICH","BESCHELCHEN","8522",,,""
"BECKERICH","BURGAASS","8522",,,""
"BECKERICH","DIKRECHERSTROOSS","8523",,,""
"BECKERICH","ELLERWEE","8523",,,""
"BECKERICH","GRINGEWEE","8521",,,""
"BECKERICH","GROUSSGAASS","8523",,,""
"BECKERICH","HEIDCHEN","8522",,,""
"BECKERICH","HUEWELERSTROOSS","8521",,,""
"BECKERICH","JOS SEYLER STROOSS","8522",,,""
"BECKERICH","JUCK","8522",,,""
"BECKERICH","KAECHERECK","8523",,,""
"BECKERICH","KIERCHEWEE","8523",,,""
"BECKERICH","KUELEBIERG","8522",,,""
"BECKERICH","LAAS","8522",,,""
"BECKERICH","LEEWELERWEE","8523",,,""
"BECKERICH","LENG","8522",,,""
"BECKERICH","MILLEWEE","8522",,,""
"BECKERICH","REIDENERWEE","8523",,,""
"BECKERICH","SCHLESSELFELD","8522",,,""
"BECKERICH","SCHONK","8522",,,""
"BECKERICH","SCHOULWEE","8523",,,""
"BECKERICH","SUEBELWEE","8521",,,""
"BEIDWEILER","IMPASSE ROUTFELD","6235",,,""
"BEIDWEILER","RUE DE GREVENMACHER","6235",,,""
"BEIDWEILER","RUE DE LA STATION","6235",,,""
"BEIDWEILER","RUE DE L'ECOLE","6235",,,""
"BEIDWEILER","RUE DE L'EGLISE","6235",,,""
"BEIDWEILER","RUE DES PRES","6235",,,""
"BEIDWEILER","RUE D'ESCHWEILER","6235",,,""
"BEIDWEILER","RUE DU RUISSEAU","6235",,,""
"BEIDWEILER","RUE HIEHL","6235",,,""
"BEIDWEILER","RUE NEUVE","6235",,,""
"BEIDWEILER","UM WANGERT","6235",,,""
"BEILER","DUARREFSTROOSS","9944",,,""
"BEILER","HASSELT","9944",,,""
"BEILER","MOLSCHENDERWEEG","9944",,,""
"BEILER","OM BECHEL","9944",,,""
"BEILER","PAEDDCHEN","9944",,,""
"BEILER","PAELLEMBOM","9944",,,""
"BELVAUX","AVENUE DU BLUES","4368",,,""
"BELVAUX","AVENUE DU SWING","4367",,,""
"BELVAUX","BELVAL-REDANGE-HALTE","4446",,,""
"BELVAUX","BOULEVARD DE LA RECHERCHE","4373",,,""
"BELVAUX","BOULEVARD DES LUMIERES","4369",,,""
"BELVAUX","BOULEVARD DU JAZZ","4370",,,""
"BELVAUX","CHEMIN ROUGE","4480",,,"P"
"BELVAUX","CHEMIN ROUGE","4480",1,141,"I"
"BELVAUX","PLACE MARCELLE LENTZ-CORNETTE","4408",,,""
"BELVAUX","QUARTIER DE L'EGLISE","4443",,,""
"BELVAUX","ROUTE D'ESCH","4450",1,150,""
"BELVAUX","ROUTE D'ESCH","4451",151,999,""
"BELVAUX","RUE ALBERT EINSTEIN","4445",,,""
"BELVAUX","RUE ALOYSE MEYER","4407",,,""
"BELVAUX","RUE BELAIR","4416",,,""
"BELVAUX","RUE CHARLY GAUL","4408",,,""
"BELVAUX","RUE DE CHAUFFAILLES","4406",,,""
"BELVAUX","RUE DE FRANCE","4446",,,""
"BELVAUX","RUE DE HUSSIGNY","4461",,,""
"BELVAUX","RUE DE LA FONTAINE","4446",,,""
"BELVAUX","RUE DE LA GARE","4460",1,91,"I"
"BELVAUX","RUE DE LA GARE","4460",,,"P"
"BELVAUX","RUE DE LA POSTE","4477",,,""
"BELVAUX","RUE DE L'ELECTRICITE","4444",,,""
"BELVAUX","RUE DE L'USINE","4490",,,""
"BELVAUX","RUE DE ROANNE","4481",,,""
"BELVAUX","RUE DE SOLEUVRE","4487",,,""
"BELVAUX","RUE DES ALLIES","4412",,,""
"BELVAUX","RUE DES CHAMPS","4431",,,""
"BELVAUX","RUE DES JARDINS","4462",,,""
"BELVAUX","RUE DES PRES","4478",,,""
"BELVAUX","RUE DICKS-LENTZ","4436",,,""
"BELVAUX","RUE D'OBERKORN","4475",,,"I"
"BELVAUX","RUE D'ORADOUR-SUR-GLANE","4476",,,""
"BELVAUX","RUE DU BOIS","4419",,,""
"BELVAUX","RUE DU BRILL","4422",,,""
"BELVAUX","RUE DU CHEMIN DE FER","4460",,,""
"BELVAUX","RUE DU COIN","4477",,,""
"BELVAUX","RUE DU STADE","4488",,,""
"BELVAUX","RUE EDOUARD THILL","4406",,,""
"BELVAUX","RUE EMILE METZ","4407",,,""
"BELVAUX","RUE FRED SUNNEN","4473",,,""
"BELVAUX","RUE GAALGEBIERG","4475",,,""
"BELVAUX","RUE GRANDE-DUCHESSE CHARLOTTE","4430",,,""
"BELVAUX","RUE HENRI BESSEMER","4407",,,""
"BELVAUX","RUE HENRI TUDOR","4489",,,""
"BELVAUX","RUE HENRY GREY","4482",,,""
"BELVAUX","RUE JACQUES BATTIN","4406",,,""
"BELVAUX","RUE JEAN L'AVEUGLE","4407",,,""
"BELVAUX","RUE JEAN SIBELIUS","4372",,,""
"BELVAUX","RUE JOHN LENNON","4371",,,""
"BELVAUX","RUE JOSEPHINE WELU-SCHERER","4429",,,""
"BELVAUX","RUE MARGUERITE THOMAS-CLEMENT","4429",,,""
"BELVAUX","RUE MARIE CURIE","4429",,,""
"BELVAUX","RUE MARIE-PAULE MOLITOR-PEFFER","4409",,,""
"BELVAUX","RUE MATHIAS GREISCH","4472",,,""
"BELVAUX","RUE MICHEL RODANGE","4482",1,54,""
"BELVAUX","RUE NEUVE","4468",,,""
"BELVAUX","RUE NICOLAS BIEVER","4406",,,""
"BELVAUX","RUE PIERRE KRIER","4406",,,""
"BELVAUX","RUE PIR KREMER","4409",,,""
"BELVAUX","RUE ROBERT KRIEPS","4409",,,""
"BELVAUX","RUE ROGER KRIER","4474",,,""
"BELVAUX","RUE SALVADORE ALLENDE","4407",,,""
"BELVAUX","RUE SIDNEY THOMAS","4407",,,""
"BELVAUX","RUE SIGEFROI","4407",,,""
"BELVAUX","RUE WAASSERTRAP","4408",,,""
"BELVAUX","RUE WENSCHEL","4491",,,""
"BELVAUX","SEELBUNNSTROOSS","4471",,,""
"BERBOURG","AM EEK","6830",,,""
"BERBOURG","AM ER","6830",,,""
"BERBOURG","AM WANGERT","6830",,,""
"BERBOURG","AN DER GRUECHT","6831",,,""
"BERBOURG","BREICHERSTROOSS","6831",,,""
"BERBOURG","DUERFSTROOSS","6830",,,""
"BERBOURG","HIERBERWEE","6831",,,""
"BERBOURG","KEIWEE","6831",,,""
"BERBOURG","KELTERBIERG","6830",,,""
"BERBOURG","NEIE WEE","6830",,,""
"BERBOURG","RUE NICOLAS WAGNER","6831",,,""
"BERBOURG","SCHULLSTROOSS","6831",,,""
"BERBOURG","STEEKAUL","6831",,,""
"BERBOURG","UM BIERG","6830",,,""
"BERBOURG","UM SCHLOOSS","6830",,,""
"BERBOURG","WEEKERSTROOSS","6830",,,""
"BERCHEM","AIRE DE BERCHEM","3325",,,""
"BERCHEM","RUE DE BETTEMBOURG","3320",37,999,"I"
"BERCHEM","RUE DE BETTEMBOURG","3320",24,998,"P"
"BERCHEM","RUE DE LA MONTEE","3321",,,""
"BERCHEM","RUE DE LIVANGE","3321",,,""
"BERCHEM","RUE DU BOIS","3321",,,""
"BERCHEM","RUE DU CHEMIN DE FER","3321",,,""
"BERCHEM","RUE DU COIN","3321",,,""
"BERCHEM","RUE HANS ADAM","3321",,,""
"BERCHEM","RUE KOPECHT","3321",,,""
"BERCHEM","RUE KRAIZHIEL","3321",,,""
"BERCHEM","RUE MECKENHECK","3321",,,""
"BERCHEM","RUE OSCAR ROMERO","3321",,,""
"BERCHEM","RUE TREESCHHECK","3321",,,""
"BERDORF","AM KREPPENT","6552",,,""
"BERDORF","AM PESCH","6553",,,""
"BERDORF","AM SEITERT","6552",,,""
"BERDORF","AN DER HEESCHBECH","6551",,,""
"BERDORF","AN DER KEIER","6551",,,""
"BERDORF","AN DER LAACH","6550",,,""
"BERDORF","AN DER RUETSBECH","6552",,,""
"BERDORF","AN DER SANK","6553",,,""
"BERDORF","BAIM LAANGEBESCH","6551",,,""
"BERDORF","BEIM MAARTBESCH","6552",,,""
"BERDORF","BIIRKELTERSTROOSS","6552",,,""
"BERDORF","HAMMHAFF","6552",,,""
"BERDORF","HAMMHAFFERSTROOSS","6552",,,""
"BERDORF","OP KISECKER","6550",,,""
"BERDORF","OP POSSELT","6562",,,""
"BERDORF","RUE BERONIS VILLA","6550",,,""
"BERDORF","RUE DE CONSDORF","6551",,,""
"BERDORF","RUE DE GRUNDHOF","6550",,,""
"BERDORF","RUE D'ECHTERNACH","6550",,,""
"BERDORF","RUE JOS KEUP","6553",,,""
"BERDORF","RUE MICHEL MULLER","6553",,,""
"BERDORF","RUE RAYMOND PETIT","6553",,,""
"BERDORF","UM BIIRKELT","6552",,,""
"BERDORF","UM MILLEWEE","6550",,,""
"BERDORF","UM ROCKELSBONGERT","6551",,,""
